SOLAR RADIATION IN W/m2 (UNTERHACHING);;;
I_Gh;I_Dh;I_ex;hs
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
4.029296875;0;26;0
74.34375;35.89276937;225;5.210786711
104.09375;60.01734281;387;12.73933689
116.90625;65.87698707;499;18.6128626
151.4375;82.33391655;555;22.33772651
167.6875;91.13336524;551;23.51853916
146.375;84.06678432;487;22.01319268
100.5625;64.55850485;366;18.00133186
45.984375;35.49238311;199;11.8989195
7.560546875;9.557898298;0;4.201784063
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
1.420410156;0;30;0
36.359375;19.56082703;230;5.396020184
87.59375;50.90123929;392;12.94531103
150.125;82.93174628;505;18.84099542
226.8125;118.6027174;561;22.58563723
239.0625;138.4329181;557;23.77953318
258.375;139.7406096;493;22.27802318
237;139.8527673;373;18.26158809
154.6875;108.2811318;205;12.14947206
30.828125;32.92467253;1;4.441079731
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
5.939453125;0;34;0
102.40625;46.47026838;235;5.587420091
231.5625;122.4923753;397;13.15746853
335.625;167.7514163;510;19.0752813
396.125;189.9151971;567;22.83953283
409.25;229.0252931;563;24.04612112
367.25;186.9183576;499;22.54782847
277.5;159.2879271;379;18.52607578
151.8125;106.2917398;211;12.40353334
28.4765625;30.94610682;7;4.683286792
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.645263672;0;39;0
12.50390625;7.175168918;240;5.784934001
39.03125;23.23910571;402;13.37574821
77.40625;44.02064403;516;19.31565094
97.5625;53.73832446;573;23.09933601
75.5;44.86303237;569;24.31821685
70.65625;41.60695315;505;22.82251344
46.46875;30.42207759;385;18.79469358
24.90625;19.31390654;217;12.66100081
5.470703125;6.805963131;13;4.928306629
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
